Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.0001, BS=64, Acc=0.7707
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.0001, BS=128, Acc=0.5610
Config: HL=[4], Act=Tanh, Ep=10, LR=0.1, BS=16, Acc=0.8195
Config: HL=[4], Act=Tanh, Ep=10, LR=0.1, BS=32, Acc=0.8780
Config: HL=[4], Act=Tanh, Ep=10, LR=0.1, BS=64, Acc=0.8488
Config: HL=[4], Act=Tanh, Ep=10, LR=0.1, BS=128, Acc=0.8341
Config: HL=[4], Act=Tanh, Ep=10, LR=0.01, BS=16, Acc=0.8195
Config: HL=[4], Act=Tanh, Ep=10, LR=0.01, BS=32, Acc=0.8244
Config: HL=[4], Act=Tanh, Ep=10, LR=0.01, BS=64, Acc=0.8146
Config: HL=[4], Act=Tanh, Ep=10, LR=0.01, BS=128, Acc=0.7902
Config: HL=[4], Act=Tanh, Ep=10, LR=0.001, BS=16, Acc=0.7902
Config: HL=[4], Act=Tanh, Ep=10, LR=0.001, BS=32, Acc=0.8000
Config: HL=[4], Act=Tanh, Ep=10, LR=0.001, BS=64, Acc=0.7805
Config: HL=[4], Act=Tanh, Ep=10, LR=0.001, BS=128, Acc=0.5902
Config: HL=[4], Act=Tanh, Ep=10, LR=0.0001, BS=16, Acc=0.6732
Config: HL=[4], Act=Tanh, Ep=10, LR=0.0001, BS=32, Acc=0.5024
Config: HL=[4], Act=Tanh, Ep=10, LR=0.0001, BS=64, Acc=0.4829
Config: HL=[4], Act=Tanh, Ep=10, LR=0.0001, BS=128, Acc=0.5512
Config: HL=[4], Act=Tanh, Ep=25, LR=0.1, BS=16, Acc=0.8976
Config: HL=[4], Act=Tanh, Ep=25, LR=0.1, BS=32, Acc=0.9220
Config: HL=[4], Act=Tanh, Ep=25, LR=0.1, BS=64, Acc=0.9317
Config: HL=[4], Act=Tanh, Ep=25, LR=0.1, BS=128, Acc=0.8683
Config: HL=[4], Act=Tanh, Ep=25, LR=0.01, BS=16, Acc=0.8878
Config: HL=[4], Act=Tanh, Ep=25, LR=0.01, BS=32, Acc=0.8634
Config: HL=[4], Act=Tanh, Ep=25, LR=0.01, BS=64, Acc=0.8195
Config: HL=[4], Act=Tanh, Ep=25, LR=0.01, BS=128, Acc=0.8293
Config: HL=[4], Act=Tanh, Ep=25, LR=0.001, BS=16, Acc=0.8098
Config: HL=[4], Act=Tanh, Ep=25, LR=0.001, BS=32, Acc=0.7902
Config: HL=[4], Act=Tanh, Ep=25, LR=0.001, BS=64, Acc=0.7902
Config: HL=[4], Act=Tanh, Ep=25, LR=0.001, BS=128, Acc=0.7707
Config: HL=[4], Act=Tanh, Ep=25, LR=0.0001, BS=16, Acc=0.7805
Config: HL=[4], Act=Tanh, Ep=25, LR=0.0001, BS=32, Acc=0.5659
Config: HL=[4], Act=Tanh, Ep=25, LR=0.0001, BS=64, Acc=0.6049
Config: HL=[4], Act=Tanh, Ep=25, LR=0.0001, BS=128, Acc=0.5024
Config: HL=[4], Act=Tanh, Ep=50, LR=0.1, BS=16, Acc=0.8878
Config: HL=[4], Act=Tanh, Ep=50, LR=0.1, BS=32, Acc=0.9122
Config: HL=[4], Act=Tanh, Ep=50, LR=0.1, BS=64, Acc=0.8878
Config: HL=[4], Act=Tanh, Ep=50, LR=0.1, BS=128, Acc=0.8927
Config: HL=[4], Act=Tanh, Ep=50, LR=0.01, BS=16, Acc=0.9366
Config: HL=[4], Act=Tanh, Ep=50, LR=0.01, BS=32, Acc=0.8439
Config: HL=[4], Act=Tanh, Ep=50, LR=0.01, BS=64, Acc=0.8439
Config: HL=[4], Act=Tanh, Ep=50, LR=0.01, BS=128, Acc=0.8439
Config: HL=[4], Act=Tanh, Ep=50, LR=0.001, BS=16, Acc=0.8049
Config: HL=[4], Act=Tanh, Ep=50, LR=0.001, BS=32, Acc=0.8098
Config: HL=[4], Act=Tanh, Ep=50, LR=0.001, BS=64, Acc=0.8000
Config: HL=[4], Act=Tanh, Ep=50, LR=0.001, BS=128, Acc=0.8049
Config: HL=[4], Act=Tanh, Ep=50, LR=0.0001, BS=16, Acc=0.7805
Config: HL=[4], Act=Tanh, Ep=50, LR=0.0001, BS=32, Acc=0.7512
Config: HL=[4], Act=Tanh, Ep=50, LR=0.0001, BS=64, Acc=0.6976
Config: HL=[4], Act=Tanh, Ep=50, LR=0.0001, BS=128, Acc=0.4976
Config: HL=[4], Act=Tanh, Ep=100, LR=0.1, BS=16, Acc=0.8780
Config: HL=[4], Act=Tanh, Ep=100, LR=0.1, BS=32, Acc=0.8829
Config: HL=[4], Act=Tanh, Ep=100, LR=0.1, BS=64, Acc=0.8780
Config: HL=[4], Act=Tanh, Ep=100, LR=0.1, BS=128, Acc=0.8780
Config: HL=[4], Act=Tanh, Ep=100, LR=0.01, BS=16, Acc=0.9610
Config: HL=[4], Act=Tanh, Ep=100, LR=0.01, BS=32, Acc=0.8927
Config: HL=[4], Act=Tanh, Ep=100, LR=0.01, BS=64, Acc=0.8683
Config: HL=[4], Act=Tanh, Ep=100, LR=0.01, BS=128, Acc=0.9024
Config: HL=[4], Act=Tanh, Ep=100, LR=0.001, BS=16, Acc=0.8195
Config: HL=[4], Act=Tanh, Ep=100, LR=0.001, BS=32, Acc=0.8341
Config: HL=[4], Act=Tanh, Ep=100, LR=0.001, BS=64, Acc=0.7854
Config: HL=[4], Act=Tanh, Ep=100, LR=0.001, BS=128, Acc=0.8000
Config: HL=[4], Act=Tanh, Ep=100, LR=0.0001, BS=16, Acc=0.8000
Config: HL=[4], Act=Tanh, Ep=100, LR=0.0001, BS=32, Acc=0.7805
Config: HL=[4], Act=Tanh, Ep=100, LR=0.0001, BS=64, Acc=0.7463
Config: HL=[4], Act=Tanh, Ep=100, LR=0.0001, BS=128, Acc=0.7659
Config: HL=[4], Act=Linear, Ep=10, LR=0.1, BS=16, Acc=0.8000
Config: HL=[4], Act=Linear, Ep=10, LR=0.1, BS=32, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=10, LR=0.1, BS=64, Acc=0.7707
Config: HL=[4], Act=Linear, Ep=10, LR=0.1, BS=128, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=10, LR=0.01, BS=16, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=10, LR=0.01, BS=32, Acc=0.8098
Config: HL=[4], Act=Linear, Ep=10, LR=0.01, BS=64, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=10, LR=0.01, BS=128, Acc=0.8049
Config: HL=[4], Act=Linear, Ep=10, LR=0.001, BS=16, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=10, LR=0.001, BS=32, Acc=0.8098
Config: HL=[4], Act=Linear, Ep=10, LR=0.001, BS=64, Acc=0.7415
Config: HL=[4], Act=Linear, Ep=10, LR=0.001, BS=128, Acc=0.6341
Config: HL=[4], Act=Linear, Ep=10, LR=0.0001, BS=16, Acc=0.7463
Config: HL=[4], Act=Linear, Ep=10, LR=0.0001, BS=32, Acc=0.5707
Config: HL=[4], Act=Linear, Ep=10, LR=0.0001, BS=64, Acc=0.6634
Config: HL=[4], Act=Linear, Ep=10, LR=0.0001, BS=128, Acc=0.5073
Config: HL=[4], Act=Linear, Ep=25, LR=0.1, BS=16, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=25, LR=0.1, BS=32, Acc=0.8049
Config: HL=[4], Act=Linear, Ep=25, LR=0.1, BS=64, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=25, LR=0.1, BS=128, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=25, LR=0.01, BS=16, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=25, LR=0.01, BS=32, Acc=0.8049
Config: HL=[4], Act=Linear, Ep=25, LR=0.01, BS=64, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=25, LR=0.01, BS=128, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=25, LR=0.001, BS=16, Acc=0.8000
Config: HL=[4], Act=Linear, Ep=25, LR=0.001, BS=32, Acc=0.8000
Config: HL=[4], Act=Linear, Ep=25, LR=0.001, BS=64, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=25, LR=0.001, BS=128, Acc=0.7756
Config: HL=[4], Act=Linear, Ep=25, LR=0.0001, BS=16, Acc=0.7415
Config: HL=[4], Act=Linear, Ep=25, LR=0.0001, BS=32, Acc=0.7122
Config: HL=[4], Act=Linear, Ep=25, LR=0.0001, BS=64, Acc=0.4634
Config: HL=[4], Act=Linear, Ep=25, LR=0.0001, BS=128, Acc=0.6098
Config: HL=[4], Act=Linear, Ep=50, LR=0.1, BS=16, Acc=0.7707
Config: HL=[4], Act=Linear, Ep=50, LR=0.1, BS=32, Acc=0.8000
Config: HL=[4], Act=Linear, Ep=50, LR=0.1, BS=64, Acc=0.7659
Config: HL=[4], Act=Linear, Ep=50, LR=0.1, BS=128, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=50, LR=0.01, BS=16, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=50, LR=0.01, BS=32, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=50, LR=0.01, BS=64, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=50, LR=0.01, BS=128, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=50, LR=0.001, BS=16, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=50, LR=0.001, BS=32, Acc=0.8049
Config: HL=[4], Act=Linear, Ep=50, LR=0.001, BS=64, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=50, LR=0.001, BS=128, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=50, LR=0.0001, BS=16, Acc=0.7707
Config: HL=[4], Act=Linear, Ep=50, LR=0.0001, BS=32, Acc=0.7707
Config: HL=[4], Act=Linear, Ep=50, LR=0.0001, BS=64, Acc=0.7073
Config: HL=[4], Act=Linear, Ep=50, LR=0.0001, BS=128, Acc=0.7024
Config: HL=[4], Act=Linear, Ep=100, LR=0.1, BS=16, Acc=0.7854
Config: HL=[4], Act=Linear, Ep=100, LR=0.1, BS=32, Acc=0.8146
Config: HL=[4], Act=Linear, Ep=100, LR=0.1, BS=64, Acc=0.7610
Config: HL=[4], Act=Linear, Ep=100, LR=0.1, BS=128, Acc=0.7610
Config: HL=[4], Act=Linear, Ep=100, LR=0.01, BS=16, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=100, LR=0.01, BS=32, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.01, BS=64, Acc=0.7805
Config: HL=[4], Act=Linear, Ep=100, LR=0.01, BS=128, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.001, BS=16, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.001, BS=32, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.001, BS=64, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.001, BS=128, Acc=0.7951
Config: HL=[4], Act=Linear, Ep=100, LR=0.0001, BS=16, Acc=0.8000
Config: HL=[4], Act=Linear, Ep=100, LR=0.0001, BS=32, Acc=0.8195
Config: HL=[4], Act=Linear, Ep=100, LR=0.0001, BS=64, Acc=0.7902
Config: HL=[4], Act=Linear, Ep=100, LR=0.0001, BS=128, Acc=0.6780
Config: HL=[4], Act=Softmax, Ep=10, LR=0.1, BS=16, Acc=0.8488
Config: HL=[4], Act=Softmax, Ep=10, LR=0.1, BS=32, Acc=0.8634
Config: HL=[4], Act=Softmax, Ep=10, LR=0.1, BS=64, Acc=0.8341
Config: HL=[4], Act=Softmax, Ep=10, LR=0.1, BS=128, Acc=0.8439
Config: HL=[4], Act=Softmax, Ep=10, LR=0.01, BS=16, Acc=0.8195
Config: HL=[4], Act=Softmax, Ep=10, LR=0.01, BS=32, Acc=0.8146
Config: HL=[4], Act=Softmax, Ep=10, LR=0.01, BS=64, Acc=0.8146
Config: HL=[4], Act=Softmax, Ep=10, LR=0.01, BS=128, Acc=0.8244
Config: HL=[4], Act=Softmax, Ep=10, LR=0.001, BS=16, Acc=0.7951
Config: HL=[4], Act=Softmax, Ep=10, LR=0.001, BS=32, Acc=0.7659
Config: HL=[4], Act=Softmax, Ep=10, LR=0.001, BS=64, Acc=0.7561
Config: HL=[4], Act=Softmax, Ep=10, LR=0.001, BS=128, Acc=0.5317
Config: HL=[4], Act=Softmax, Ep=10, LR=0.0001, BS=16, Acc=0.5220
Config: HL=[4], Act=Softmax, Ep=10, LR=0.0001, BS=32, Acc=0.4976
Config: HL=[4], Act=Softmax, Ep=10, LR=0.0001, BS=64, Acc=0.5024
Config: HL=[4], Act=Softmax, Ep=10, LR=0.0001, BS=128, Acc=0.5024
Config: HL=[4], Act=Softmax, Ep=25, LR=0.1, BS=16, Acc=0.8439
